personID,participant_speaker,num_Q,choice,conflicted,difficulty_score,evidence
R3,SPEAKER 2,25,B,False,1,
R3,SPEAKER 2,26,B,False,1,
R3,SPEAKER 2,27,B,False,1,
R3,SPEAKER 2,28,B,False,1,
R3,SPEAKER 2,29,B,False,1,
R3,SPEAKER 2,30,B,False,1,
R3,SPEAKER 2,31,B,False,2,
R3,SPEAKER 2,32,B,False,1,
R3,SPEAKER 2,33,A,False,1,
R3,SPEAKER 2,34,B,False,1,
R3,SPEAKER 2,35,B,False,1,
R3,SPEAKER 2,36,A,False,1,
R3,SPEAKER 2,37,A,False,1,
R3,SPEAKER 2,38,A,False,1,
R3,SPEAKER 2,39,B,False,1,
R3,SPEAKER 2,40,B,False,1,
R3,SPEAKER 2,41,B,False,1,
R3,SPEAKER 2,42,A,False,1,
R3,SPEAKER 2,43,A,False,1,
R3,SPEAKER 2,44,A,False,1,
R3,SPEAKER 2,45,B,False,1,
R7,SPEAKER 2,1,A,False,2,
R7,SPEAKER 2,2,A,False,2,
R7,SPEAKER 2,3,B,False,2,
R7,SPEAKER 2,4,B,False,1,
R7,SPEAKER 2,5,A,False,1,
R7,SPEAKER 2,6,B,False,1,
R7,SPEAKER 2,7,A,False,1,
R7,SPEAKER 2,8,A,True,4,"Oh, I took it to mean that the... Correct. I was going the other way. That zero to 10 was the most... Most poverty stricken."
R7,SPEAKER 2,9,B,False,1,
R7,SPEAKER 2,10,A,True,3,"Interesting. Interesting. Let's go with a on this one, please."
R7,SPEAKER 2,11,A,False,1,
R7,SPEAKER 2,12,B,False,1,
R7,SPEAKER 2,13,B,False,1,
R7,SPEAKER 2,14,B,False,1,
R7,SPEAKER 2,15,B,True,3,"30 to thirty, eleven to five, grocery store, poverty. Interesting. Interesting."
R7,SPEAKER 2,16,B,False,1,
R7,SPEAKER 2,17,A,False,1,
R7,SPEAKER 2,18,B,False,1,
R7,SPEAKER 2,19,A,False,1,
R7,SPEAKER 2,20,B,False,1,
R7,SPEAKER 2,21,B,False,1,
R7,SPEAKER 2,22,A,False,1,
R7,SPEAKER 2,23,B,False,1,
R7,SPEAKER 2,24,B,False,1,
R7,SPEAKER 2,25,A,False,1,
R7,SPEAKER 2,26,B,False,1,
R7,SPEAKER 2,27,B,False,1,
R7,SPEAKER 2,28,A,False,1,
R7,SPEAKER 2,29,B,False,1,
R7,SPEAKER 2,30,A,False,1,
R7,SPEAKER 2,31,A,False,1,
R7,SPEAKER 2,32,B,False,1,
R7,SPEAKER 2,33,A,False,1,
R7,SPEAKER 2,34,B,False,1,
R7,SPEAKER 2,35,A,False,1,
R7,SPEAKER 2,36,B,False,1,
R7,SPEAKER 2,37,A,False,1,
R7,SPEAKER 2,38,A,False,1,
R7,SPEAKER 2,39,B,False,1,
R7,SPEAKER 2,40,A,False,1,
R7,SPEAKER 2,41,A,False,1,
R7,SPEAKER 2,42,B,False,1,
R7,SPEAKER 2,43,B,False,1,
R7,SPEAKER 2,44,A,False,1,
R7,SPEAKER 2,45,B,False,1,
R7,SPEAKER 2,46,A,False,1,
R7,SPEAKER 2,47,A,False,1,
R7,SPEAKER 2,48,B,True,3,"That's a toss-up. B, please."
R7,SPEAKER 2,49,A,False,1,
R7,SPEAKER 2,50,A,False,1,
R8,SPEAKER 2,1,B,False,1,
R8,SPEAKER 2,2,B,False,2,
R8,SPEAKER 2,3,B,False,1,
R8,SPEAKER 2,4,A,False,1,
R8,SPEAKER 2,5,B,False,1,
R8,SPEAKER 2,6,B,False,1,
R8,SPEAKER 2,7,A,False,1,
R8,SPEAKER 2,8,B,False,1,
R8,SPEAKER 2,9,A,False,1,
R8,SPEAKER 2,10,A,False,1,
R8,SPEAKER 2,11,A,False,1,
R8,SPEAKER 2,12,A,False,1,
R8,SPEAKER 2,13,B,False,1,
R8,SPEAKER 2,14,A,False,1,
R8,SPEAKER 2,15,B,False,2,
R8,SPEAKER 2,16,A,False,1,
R8,SPEAKER 2,17,B,False,1,
R8,SPEAKER 2,18,A,False,1,
R8,SPEAKER 2,19,A,False,1,
R8,SPEAKER 2,20,A,False,1,
R8,SPEAKER 2,21,B,False,1,
R8,SPEAKER 2,22,B,False,1,
R8,SPEAKER 2,23,B,False,1,
R8,SPEAKER 2,24,B,False,1,
R8,SPEAKER 2,25,A,False,1,
R8,SPEAKER 2,26,B,False,1,
R8,SPEAKER 2,27,A,False,1,
R8,SPEAKER 2,28,A,False,1,
R8,SPEAKER 2,29,B,False,1,
R8,SPEAKER 2,30,B,False,1,
R8,SPEAKER 2,31,B,True,3,These guys are very similar. Mhmm. So I would go with b because it is a higher level of food access.
R8,SPEAKER 2,32,A,False,1,
R8,SPEAKER 2,33,A,False,1,
R8,SPEAKER 2,34,B,False,1,
R8,SPEAKER 2,35,A,False,1,
R8,SPEAKER 2,36,A,False,1,
R8,SPEAKER 2,37,A,False,1,
R8,SPEAKER 2,38,A,False,1,
R8,SPEAKER 2,39,B,False,1,
R8,SPEAKER 2,40,A,True,3,I would go with A based on travel time Mhmm. Recipients. You no. Not travel time because it's sixty minutes. Receiv the organization size and the level of food
R8,SPEAKER 2,41,A,False,1,
V3,SPEAKER 2,1,A,False,3,
V3,SPEAKER 2,2,B,False,3,
V3,SPEAKER 2,3,B,False,2,
V3,SPEAKER 2,4,B,False,2,
V3,SPEAKER 2,5,B,False,3,
V3,SPEAKER 2,6,B,True,4,"""You know, when you talk about fair, what's fair, what's best... I think I think that's tough driving more than two hours to donate something."""
V3,SPEAKER 2,7,B,True,3,"""This one's tough for that same reason of the travel time."""
V3,SPEAKER 2,8,A,False,1,
V3,SPEAKER 2,9,B,True,3,"""I kinda worry here because there's fewer than 50 people."""
V3,SPEAKER 2,10,A,False,2,
V3,SPEAKER 2,11,B,False,2,
V3,SPEAKER 2,12,B,False,2,
V3,SPEAKER 2,13,B,False,2,
V3,SPEAKER 2,14,B,False,2,
V3,SPEAKER 2,15,B,False,1,
V3,SPEAKER 2,16,A,False,2,
V3,SPEAKER 2,17,B,False,2,
V3,SPEAKER 2,18,B,True,3,"""This one's hard because a higher income level and a lower poverty rate."""
V3,SPEAKER 2,19,B,False,1,
V3,SPEAKER 2,20,A,False,2,
V3,SPEAKER 2,21,A,False,2,
V3,SPEAKER 2,22,B,False,2,
V3,SPEAKER 2,23,B,True,3,"""Ugh. It would go even though this is a small group, I would go with them."""
V3,SPEAKER 2,24,B,True,3,"""even though the income and poverty makes me wanna say this one is more deserving, the fact that it has such a large population or such a small population"""
V3,SPEAKER 2,25,A,False,2,
V3,SPEAKER 2,26,A,False,2,
V3,SPEAKER 2,27,B,False,2,
V3,SPEAKER 2,28,B,False,2,
V3,SPEAKER 2,29,A,False,2,
V3,SPEAKER 2,30,A,False,2,
V3,SPEAKER 2,31,B,False,1,
V3,SPEAKER 2,32,B,False,2,
V3,SPEAKER 2,33,A,False,2,
V3,SPEAKER 2,34,A,True,3,"""I think I'm gonna go with a on this one because they've never mostly because they've never gotten a donation before"""
V3,SPEAKER 2,35,B,True,4,"""This one's hard because that difference between the drive time... probably contradicting myself all the time. Driving is important. It's not important."""
V3,SPEAKER 2,36,A,False,2,
V3,SPEAKER 2,37,A,False,2,
V3,SPEAKER 2,38,B,False,1,
V3,SPEAKER 2,39,B,False,2,
V3,SPEAKER 2,40,A,False,2,
V3,SPEAKER 2,41,B,False,2,
V3,SPEAKER 2,42,A,False,2,
V3,SPEAKER 2,43,A,False,2,
V5,SPEAKER 2,1,A,False,2,
V5,SPEAKER 2,2,B,False,3,
V5,SPEAKER 2,3,B,False,2,
V5,SPEAKER 2,4,B,True,4,"""it's just so hard to some of these are hard because... The income level on this one is a lot less, but that serves more people. I don't know."""
V5,SPEAKER 2,5,A,False,2,
V5,SPEAKER 2,6,A,True,4,"""This kinda gets hard sometimes... I think I'm gonna go with a, I think, because of the poverty. Okay. Wait... I think I'm gonna go with b... no. I think I'm gonna go with a."""
V5,SPEAKER 2,7,A,True,3,"""Yeah. Although they get more donations. This one got food two weeks ago, and the other one got food twelve weeks more often too."""
V5,SPEAKER 2,8,A,False,2,
V5,SPEAKER 2,9,A,False,2,
V5,SPEAKER 2,10,A,True,3,"""It is. The only difference is the number of people at SURZ, and I think because of that, maybe a would be"""
V5,SPEAKER 2,11,A,False,2,
V5,SPEAKER 2,12,A,True,3,"""I was gonna go with b on this one because the income level is so low... Okay. I'll go with a. I'll go with a."""
V5,SPEAKER 2,13,B,False,2,
V5,SPEAKER 2,14,B,False,2,
V5,SPEAKER 2,15,A,False,2,
V5,SPEAKER 2,16,A,False,2,
V5,SPEAKER 2,17,B,False,2,
V5,SPEAKER 2,18,B,False,2,
V5,SPEAKER 2,19,B,True,3,"""This is hard because a hasn't had a donation for nine weeks while b had it one last week, and the income levels are relatively"""
V5,SPEAKER 2,20,A,False,2,
V5,SPEAKER 2,21,B,True,4,"""Same population. That's a hard one because it's has a higher income level, but a higher I guess, a little lower poverty rate"""
V5,SPEAKER 2,22,A,False,2,
V5,SPEAKER 2,23,A,False,2,
V5,SPEAKER 2,24,B,True,4,"""That's a toughie because a has never gotten any donations at all... Well, that's hard, though, because b does has an extremely low"""
V5,SPEAKER 2,25,A,False,2,
V5,SPEAKER 2,26,B,True,3,"""This is a hard one. And how even in high income areas, there are people who need food and things."""
V5,SPEAKER 2,27,A,False,2,
V5,SPEAKER 2,28,B,False,2,
V5,SPEAKER 2,29,A,False,2,
V5,SPEAKER 2,30,A,False,2,
V5,SPEAKER 2,31,B,True,3,"""That's a hard one. What do you think? They got a donation sooner, but the poverty rate's a lot higher."""
V5,SPEAKER 2,32,B,False,2,
V5,SPEAKER 2,33,A,True,3,"""This is so hard because, you know, there's only 50 people, but they've received less of a donation."""
V5,SPEAKER 2,34,A,False,2,
V5,SPEAKER 2,35,B,True,3,"""It's like you're playing god... the income level is higher, and the poverty rate is much lower. I'm gonna go with b this time"""
V5,SPEAKER 2,36,A,True,3,"""Well, just a minute. Now they have a higher poverty rate and lower income. I'm gonna go with a. This is a hard one too."""
V5,SPEAKER 2,37,B,True,4,"""I gave him a hint. B. That's what I was tending towards because they got a well, it's not even that different"""
V5,SPEAKER 2,38,A,False,2,
V5,SPEAKER 2,39,A,True,3,"""Would be lower poverty or higher poverty rate, lower income... they didn't get their food for eleven weeks, but they got a higher share of food. I don't know."""
V5,SPEAKER 2,40,A,False,2,
